SlopeFEM_2D 计算结果导出
导出时间:,2025-06-10 22:37:13

目标点位移结果
点名称,水平位移 (m),竖直位移 (m)
A,-3.181601e-03,-1.871507e-03
B,1.556304e-02,-1.455115e-03

节点位移结果
节点ID,X坐标 (m),Y坐标 (m),水平位移 (m),竖直位移 (m)
379,3.576754e+04
380,4.064301e+04
381,4.005299e+04
382,3.938618e+04
383,4.153101e+04
384,1.499243e+05
385,1.585708e+05
386,3.734400e+04
387,5.219284e+04
388,8.551152e+04
389,3.703594e+04
390,1.389150e+05
391,1.426902e+05
392,3.854199e+04
393,3.168483e+04
394,1.058850e+05
395,1.387460e+05
396,3.258911e+04
397,3.099324e+04
398,2.985257e+04
399,3.007574e+04
400,1.209351e+05
401,1.407483e+05
402,1.067053e+05
403,1.129013e+05
404,1.017077e+05
405,9.681635e+04
406,1.056735e+05
407,2.773742e+04
408,4.493786e+04
409,1.160282e+05
410,1.458613e+05
411,4.711307e+04
412,2.371828e+04
413,3.655889e+04
414,2.440922e+04
415,2.556322e+04
416,7.524247e+04
417,4.156523e+04
418,4.105331e+04
419,1.142624e+05
420,5.402363e+04
421,5.948284e+04
422,2.782107e+04
423,1.781470e+04
424,2.189837e+04
425,3.559030e+04
426,3.143655e+04
427,8.386488e+04
428,1.010040e+05
429,1.051334e+05
430,1.344948e+05
431,9.190644e+04
432,1.048104e+05
433,8.353733e+04
434,7.681494e+04
435,3.492747e+04
436,2.616134e+04
437,8.976301e+04
438,1.243860e+05
439,1.799387e+05
440,8.569619e+04
441,8.498357e+04
442,2.979499e+04
443,6.482040e+04
444,1.640854e+05
445,1.307419e+05
446,3.172813e+04
447,2.968594e+04
448,2.746051e+04
449,5.453069e+04
450,2.891639e+04
451,1.974087e+04
452,2.719229e+04
453,3.548057e+04
454,1.328478e+05
455,6.173569e+04
456,8.458032e+04
457,4.072367e+04
458,2.845339e+04
459,2.925579e+04
460,3.217497e+04
461,1.143600e+05
462,1.079603e+05
463,1.498472e+05
464,1.016005e+05
465,1.526503e+05
466,7.426912e+04
467,7.544838e+04
468,1.188338e+05
469,9.363925e+04
470,8.454593e+04
471,1.302924e+05
472,1.337281e+05
473,1.474992e+05
474,8.732871e+04
475,9.935626e+04
476,5.853895e+04
477,1.508420e+05
478,1.306075e+05
479,1.451685e+05
480,1.452949e+05
481,1.522916e+05
482,1.143310e+05
483,1.408179e+05
484,1.339017e+05
485,1.472712e+05
486,1.448341e+05
487,5.958239e+04
488,9.449990e+04
489,2.850320e+04
490,1.060775e+05
491,2.325992e+04
492,3.289067e+04
493,2.670879e+04
494,2.196734e+04
495,4.061801e+04
496,1.463030e+05
497,1.308486e+05
498,1.488866e+05
499,1.460570e+05
500,1.138049e+05
501,1.183041e+05
502,1.061293e+05
503,1.301308e+05
504,1.340330e+05
505,1.285191e+05
506,1.806753e+04
507,2.981728e+04
508,2.964757e+04
509,2.397461e+04
510,1.840844e+04
511,4.434419e+04
512,2.302846e+04
513,2.094561e+04
514,2.293807e+04
515,3.861675e+04
516,2.911481e+04
517,3.323883e+04
518,3.274389e+04
519,2.645694e+04
520,1.235465e+05
521,3.372446e+04
522,3.433082e+04
523,3.634262e+04
524,3.741087e+04
525,3.104197e+04
526,3.261543e+04
527,2.855352e+04
528,3.376107e+04
529,4.568171e+04
530,2.126369e+04
